"Video ID",Title,Length,Published
S2tbewUh0i8,"Atentado en la Villa Olímpica - Las repercusiones de la masacre de Múnich | DW Documental","51m 56s","2022-09-04T19:00:09Z"
CngWkD4IZX0,"Un viaje por el Mediterráneo - Egipto | DW Documental","25m 56s","2022-08-28T19:00:04Z"
jlZYsRDw2QM,"¿A quién pertenece el agua? | DW Documental","42m 26s","2022-08-24T19:00:18Z"
j83MWpcQavo,"Un nuevo sonido para Europa - ¿Cómo la música hace de puente entre las culturas? | DW Documental","1h 25m 57s","2022-08-20T19:00:30Z"
WF5WHEnwNA4,"La respuesta de la naturaleza al crecimiento de las ciudades | DW Documental","42m 26s","2022-08-19T19:00:11Z"
zOww6a5vlf0,"¿Qué pasa cuando hay escasez de agua? | DW Documental","42m 26s","2022-08-17T19:00:19Z"
8BlaLF9_gnc,"El Líbano - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-08-14T19:00:03Z"
CDMiAyNNL4Y,"India - Una superpotencia emergente - Clima, igualdad, carrera espacial | DW Documental","51m 56s","2022-08-12T19:15:00Z"
"SQNepS_b-PI","India - Una superpotencia emergente - Democracia, desarrollo, desplazamiento | DW Documental","51m 56s","2022-08-12T19:00:20Z"
"op-OXw9V_ds","El misterio de la pintura de Vermeer de 350 años de antigüedad | DW Documental","42m 26s","2022-08-11T19:00:28Z"
"7CTnJ-rehgg","La lucha por el agua | DW Documental","42m 26s","2022-08-10T19:00:06Z"
eHOel1hjKnE,"Líbano: Las consecuencias y las víctimas de la crisis económica | DW Documental","54m 51s","2022-08-04T19:00:12Z"
WQJfRjGVgGY,"Volver a Ucrania - El fotógrafo Yuri Kosin regresa a su hogar | DW Documental","28m 26s","2022-08-02T19:00:12Z"
rOAt6Xt9vlI,"La China de Xi Jinping | DW Documental","1h 25m 56s","2022-07-30T19:00:16Z"
11BSVQdzQ5Y,"A la caza de combatientes del ISIS en Europa | DW Documental","42m 26s","2022-07-29T19:00:00Z"
42FPnvg81u4,"Auditores y servicios financieros bajo sospecha - El poder global de las Big Four | DW Documental","42m 26s","2022-07-28T19:00:02Z"
uR_736B0x4k,"Discriminación de los sinti y los romaníes en Alemania | DW Documental","42m 26s","2022-07-27T19:00:22Z"
jq2XZSJ4LnM,"Biopiratas - El saqueo de recursos biológicos indígenas | DW Documental","28m 6s","2022-07-26T19:00:15Z"
3W8x_FtricQ,"Rusos en Georgia | DW Documental","28m 27s","2022-07-25T19:00:01Z"
ZT2U6Pqq2Io,"Matar para Assad - Cómo un video expuso una matanza | DW Documental","28m 26s","2022-07-22T19:00:15Z"
YWg3ZbrHQoc,"Histerectomías forzosas en la India | DW Documental","42m 26s","2022-07-21T19:00:23Z"
"2G8y7-UjMTw","Preparacionistas: Suecia y un hipotético colapso | DW Documental","28m 26s","2022-07-19T19:00:01Z"
0rzAluuejUw,"Clima extremo, ¿qué nos espera? | DW Documental","42m 26s","2022-07-16T19:00:00Z"
wF9oUIa_Anc,"Un año tras las inundaciones en Alemania | DW Documental","42m 26s","2022-07-15T19:00:32Z"
Sfzff3xp_yI,"Presos políticos de Erdoğan | DW Documental","42m 26s","2022-07-14T19:00:09Z"
_595wSd3duI,"El cuadro más enigmático de Leonardo da Vinci | DW Documental","42m 26s","2022-07-08T19:00:12Z"
XASh05novOI,"La diabetes - Una enfermedad lucrativa | DW Documental","42m 26s","2022-07-07T19:00:13Z"
oHVI2J8z1VI,"Colonia Dignidad: una secta tenebrosa - La lucha por la justicia | DW Documental","42m 26s","2022-07-06T19:00:30Z"
hO3Ki1_iMtE,"Más bombas atómicas en Europa - ¿Una nueva Guerra Fría? | DW Documental","42m 26s","2022-07-02T19:00:12Z"
h24Bha4P3Uw,"Fe, poder, manipulación - Los secretos de la secta del Opus Dei | DW Documental","42m 26s","2022-06-30T19:00:13Z"
C1pgDKgLICs,"Sexo, drogas y muerte - Un viaje con final trágico | DW Documental","42m 26s","2022-06-29T19:00:06Z"
0Kfe_XzBKl0,"Las promesas del Brexit - La frustración de los pescadores británicos | DW Documental","28m 26s","2022-06-21T19:00:01Z"
p7x4n0lYP8o,"¿Mantendrá la India su vínculo con Rusia? | DW Documental","54m 5s","2022-06-20T19:00:31Z"
sF_49X5GPO0,"El ascenso de una corporación multinacional | DW Documental","25m 57s","2022-06-19T19:00:16Z"
76uSdKCbsQQ,"Arar para el clima: tierra sana, mundo sano | DW Documental","28m 26s","2022-06-14T19:00:02Z"
KkKdWaiUg0c,"La guerra sucia de Yemen | DW Documental","51m 55s","2022-06-11T19:00:06Z"
ewDH8sy96eY,"¿Cuán peligrosos son los volcanes de Alemania? | DW Documental","42m 27s","2022-06-08T19:00:21Z"
MV4B7Yrmcls,"Cambio climático bajo el agua - ¿puede sobrevivir la vida marina? | DW Documental","28m 27s","2022-06-07T19:00:12Z"
ux3wSRJa77U,"¿Qué lleva a una madre a matar a su hijo? | DW Documental","51m 56s","2022-06-05T19:00:15Z"
CtvGfaL2Dtg,"Bioeconomía como alternativa - ¿qué tan prometedores son los recursos renovables? | DW Documental","42m 26s","2022-06-04T19:00:05Z"
uJc0J__Ii6s,"Moda rápida - Dónde acaban los desechos textiles | DW Documental","28m 27s","2022-05-31T19:00:17Z"
ApNwyP7KvdI,"Descifrar el código secreto del envejecimiento | DW Documental","51m 40s","2022-05-28T19:00:02Z"
sUa1xv_3V2s,"La gula de la industria alimentaria | DW Documental","42m 26s","2022-05-26T19:00:23Z"
ZMQvwYtdiD0,"Serbia, Rusia y la guerra en Ucrania | DW Documental","28m 18s","2022-05-24T19:00:18Z"
uhbhFGvYzSg,"Santa Elena, una isla impresionante en uno de los lugares más remotos de la Tierra | DW Documental","42m 27s","2022-05-20T19:00:20Z"
A3cGMNxRNJ0,"Google, Facebook, Amazon - El poder ilimitado de los consorcios digitales | DW Documental","42m 27s","2022-05-19T19:00:03Z"
SHw6f84euEE,"Muerte en la discoteca - El ambiente nocturno de Berlín y las drogas | DW Documental","42m 27s","2022-05-18T19:00:15Z"
XetJfZmEzos,"La lucha contra el mar - La erosión costera en Portugal | DW Documental","28m 27s","2022-05-17T19:00:16Z"
9QNZqozcdNg,"¿Cómo nos influye la música? | DW Documental","40m 57s","2022-05-15T19:00:03Z"
3EIpc_pltBk,"Espías, confidentes y nuevos enemigos - El nuevo poder de los servicios secretos | DW Documental","42m 32s","2022-05-08T19:00:01Z"
V8Yn7cvA2aQ,"Rusia: una pequeña ciudad aferrada a su pasado soviético | DW Documental","51m 56s","2022-05-07T19:00:07Z"
7lZSERCAIhA,"Aborto en Europa | DW Documental","42m 26s","2022-05-06T19:00:02Z"
8zC4UdZlYpg,"La verdad sobre el crimen y la corrupción - Anabel Hernández | DW Documental","51m 56s","2022-05-03T17:00:06Z"
"EAlkxo-CFFQ","Perros de rescate: el mejor amigo del hombre salva vidas | DW Documental","25m 57s","2022-05-01T19:00:08Z"
tjPallqAtG4,"Las Seychelles, un paraíso en peligro | DW Documental","28m 26s","2022-04-26T19:00:29Z"
6qZsz4vtvzw,"¿Es posible acabar con las redes criminales de alcance global? | DW Documental","42m 26s","2022-04-24T19:00:02Z"
S1KcTGKWBE8,"Fake News, propaganda y bulos - La batalla contra la desinformación | DW Documental","42m 27s","2022-04-21T19:00:12Z"
DWqLAlsiPbE,"La comercialización de la propia imagen: los peligros de las redes sociales | DW Documental","42m 27s","2022-04-20T19:00:03Z"
tE7qbzpFTnQ,"Cambio climático - A los tribunales, en defensa del clima | DW Documental","28m 7s","2022-04-19T19:00:14Z"
