"Video ID",Title,Length,Published
0hynCIH3hwc,"EXPOSED: Organised crime networks targeting disabled Australians | 60 Minutes Australia","16m 27s","2022-08-14T11:30:01Z"
akFS0odjAHs,"Cracking the code of the lottery: How this retired couple won millions | 60 Minutes Australia","18m 32s","2022-08-14T11:30:01Z"
PyfXYx7Vrjs,"SNEAK PEEK: The Big Steal | 60 Minutes Australia",37s,"2022-08-11T08:27:48Z"
iOcsHfxRz9Y,"Bad Grandpas: How seniors stole $25 million in brazen bank robbery | 60 Minutes Australia","20m 15s","2022-08-10T17:00:25Z"
MMsNv5XaVd4,"SNEAK PEEK: The retired couple who cracked the code to winning the lottery | 60 Minutes Australia",58s,"2022-08-10T08:45:17Z"
b4qAGBaR0So,"Australian music icons the Seekers look back on 50 years of ups and downs | 60 Minutes Australia","13m 27s","2022-08-08T23:47:34Z"
NGN9CZdDDLg,"Cryptocurrency expert wanted by the FBI after trip to North Korea | 60 Minutes Australia","18m 39s","2022-08-08T04:20:36Z"
2ytjESKleFo,"How the Apollo lunar Astronauts paved the way for future space travel | 60 Minutes Australia","14m 20s","2022-08-07T16:00:01Z"
"2CrvGE-p9AA","Activist arrested over alleged bomb threat says he's been framed by China | 60 Minutes Australia","5m 44s","2022-08-07T11:44:26Z"
cfn58Addwsk,"Failure after failure: Private hospitals’ appalling treatment of pregnant mum | 60 Minutes Australia","21m 51s","2022-08-07T11:24:03Z"
aZIYghak8J0,"The 'miracle' Botox cure helping the disabled walk again | 60 Minutes Australia","13m 36s","2022-08-05T16:00:01Z"
Hs9atWhwWUc,"SNEAK PEEK: No Man's Land | 60 Minutes Australia","1m 3s","2022-08-04T08:43:43Z"
yknV1XjEmPY,"SUNDAY on #60Mins: Dying for Help | 60 Minutes Australia","1m 4s","2022-08-03T08:03:33Z"
nMp_dHoodoQ,"The Real 50 First Dates: Meet the man with a 30 second memory | 60 Minutes Australia","15m 8s","2022-08-02T17:00:23Z"
vx6KVvfO4bc,"36-year-old teacher justifies dating 15-year-old student | 60 Minutes Australia","13m 58s","2022-08-01T14:00:34Z"
000OeW7HMLE,"Neurologist explains alarming link between COVID-19 stress and Tics in teens | 60 Minutes Australia","4m 2s","2022-08-01T03:23:49Z"
qa9AbcCwgyc,"Why are 'relentless bullies' targeting Meghan Markle? | 60 Minutes Australia","2m 43s","2022-08-01T02:37:27Z"
Fhc2f9cW_FY,"Businessman accused of running Ponzi scheme charged with fraud | 60 Minutes Australia","4m 11s","2022-07-31T10:03:46Z"
uFrcx3l_nr4,"Bully or bullied? The new royal scandal surrounding Meghan Markle | 60 Minutes Australia","18m 11s","2022-07-31T10:00:54Z"
"ra4-gmQT_50","The medical mystery linking TikTok to an explosion of severe tics in teens | 60 Minutes Australia","21m 7s","2022-07-31T09:36:59Z"
BsFSLc66SZw,"EXPOSED: Holistic medicine scammers caught red-handed | 60 Minutes Australia","15m 32s","2022-07-30T14:00:04Z"
_pi0gTIPKec,"SNEAK PEEK: The Trouble with Meghan | 60 Minutes Australia",47s,"2022-07-28T07:00:10Z"
3mINBoPTCfo,"SNEAK PEEK: TikTok Tic | 60 Minutes Australia","1m 1s","2022-07-27T09:25:03Z"
R6KTVh_xIQQ,"Why JonBenét Ramsey's father has 'forgiven' her killer | 60 Minutes Australia","3m 50s","2022-07-27T03:08:20Z"
"5-oNMsUTGqk","JonBenét Ramsey's father explains the truth behind the beauty pageants | 60 Minutes Australia","4m 1s","2022-07-26T01:46:04Z"
fuyNvY9lppg,"How one family's suburban dream turned into another's nightmare | 60 Minutes Australia","14m 41s","2022-07-24T14:00:27Z"
93UdoApio5s,"The breakthrough new DNA evidence that could find JonBenét Ramsey's killer | 60 Minutes Australia","25m 33s","2022-07-24T10:09:46Z"
ePkYP8RdfHg,"How much more cost of living pain will Aussies have to suffer? | 60 Minutes Australia","18m 40s","2022-07-24T09:29:50Z"
cZAtC5RZ4vg,"The rogue Indonesian fishermen making a mockery of our border security | 60 Minutes Australia","17m 33s","2022-07-21T19:00:16Z"
"_mn-hcImmgU","SNEAK PEEK: Lettuce Spray | 60 Minutes Australia",51s,"2022-07-21T09:27:10Z"
2my2rI3gGOc,"SNEAK PEEK: JonBenét Ramsey | 60 Minutes Australia","1m 9s","2022-07-20T08:41:39Z"
xOrTTqd1dGk,"One Small Step: The tiny mistake that almost saw a sailor die alone at sea | 60 Minutes Australia","5m 15s","2022-07-19T06:04:12Z"
OqkQ7g7aKAM,"The devastating impact of foot-and-mouth disease | 60 Minutes Australia","13m 26s","2022-07-19T03:48:18Z"
fu42enVXLWQ,"How a Theranos whistleblower was betrayed by his family | 60 Minutes Australia","4m 55s","2022-07-19T02:39:49Z"
"F3uQ-9ryWGs","Old dogs, new tricks: Rescuing unwanted dogs from death row | 60 Minutes Australia","12m 27s","2022-07-18T14:00:08Z"
