Video ID,Title,Length,Published
7a-XNgPWcXE,Jewish identity in London - Freitagnacht Jews | DW Documentary,43m 30s,2022-10-28T16:00:05Z
3K7bWTSnxU8,Putin's craving for power | DW Documentary,42m 26s,2022-10-27T16:00:03Z
XOfeqRgaF1A,How our brain judges people in a split second | DW Documentary,42m 26s,2022-10-26T15:00:32Z
wu7PjKawjwI,Food security - A growing dilemma | DW Documentary,28m 26s,2022-10-25T16:00:44Z
JhNrMgT90lA,The battle for Milwaukee’s black vote | DW Documentary,12m 26s,2022-10-24T16:00:10Z
JOvZT76k1Cs,Visiting Andalusia Spain - Mediterranean journey | DW Documentary,25m 56s,2022-10-23T16:00:17Z
Ya46bmRa0os,Cuba: High prices lines and shortages | DW Documentary,51m 56s,2022-10-22T16:00:32Z
q3KdGOcnMqw,Jordan: The mysterious Stone Age village | DW Documentary,42m 26s,2022-10-20T16:00:35Z
SgNCM8K6gfY,The Galapagos Islands - Plastic in the Pacific | DW Documentary,28m 26s,2022-10-18T16:00:14Z
anjq43EhoP8,From Mount Etna to Palermo: Exploring Sicily Italy - Mediterranean journey | DW Documentary,25m 56s,2022-10-16T16:00:02Z
j1Pb8YU8wQo,Travels in Israel - Mediterranean journey | DW Documentary,25m 55s,2022-10-13T16:00:24Z
e4TPVMYkF0k,Bangladesh's struggle with flooding | DW Documentary,42m 26s,2022-10-12T16:00:23Z
nDRuXWj2QBI,Mountain traditions: Costumed cattle parade in the Alps | DW Documentary,12m 26s,2022-10-10T16:00:26Z
aAhoIdFDv0Q,Traveling Tunisia - Mediterranean journey | DW Documentary,25m 55s,2022-10-09T19:00:00Z
Ugxw0gLCWLE,Ludovic - Imam and gay | DW Documentary,12m 25s,2022-10-07T20:00:17Z
TcqAu8VyjZA,Uzbekistan - The Silk Road by train | DW Documentary,42m 26s,2022-10-05T16:00:21Z
A9uhf1iSvN8,The Documenta art exhibition and the debate over antisemitism | DW Documentary,28m 26s,2022-10-04T16:00:04Z
j3YBVc9dgMo,How to wrestle with gender norms and win | DW Documentary,19m 21s,2022-10-02T16:00:34Z
qySBQjSXbfw,Wind and climate change | DW Documentary,51m 56s,2022-10-01T16:00:37Z
jFAxt-a6b_M,Architecture: Insights into a male-dominated industry | DW Documentary,58m 49s,2022-09-30T16:00:25Z
u4SIlJE0Qs0,Manipulating our emotions | DW Documentary,42m 26s,2022-09-29T16:00:38Z
4BxPNNI2wO8,The science of explosives | DW Documentary,42m 26s,2022-09-28T16:00:04Z
aDVDM157JOI,Patriotism reinvented - The battle over national identity | DW Documentary,28m 26s,2022-09-27T16:45:00Z
VoPyuD6flUk,Bangladesh: Fear among Hindus as religious festival starts | DW Documentary,12m 26s,2022-09-26T16:00:17Z
RdPfgBc3YXo,Exploring Crete: Greece's largest island - Mediterranean journey | DW Documentary,25m 55s,2022-09-25T16:00:31Z
F1ma0rjK1hc,Leaving the Islamic State - Life back in Germany | DW Documentary,42m 26s,2022-09-22T16:00:07Z
arn9njF5WgA,Asexual people speak out | DW Documentary,12m 29s,2022-09-19T16:00:01Z
ZQhXZoW-FPU,Malta: Exploring one of Europe's smallest countries - Mediterranean journey | DW Documentary,25m 55s,2022-09-18T16:00:16Z
5fY8BVwsLMA,Iran from above - In the mountains | DW Documentary,42m 26s,2022-09-17T16:00:03Z
6gX2woPNPew,Taiwan conflict - Facing the threat from China | DW Documentary,42m 26s,2022-09-16T16:00:08Z
VPRBxXWfBtU,The crisis in Mali | DW Documentary,42m 26s,2022-09-14T16:00:22Z
Ne1bb5xhkC8,Love and sex - Taboos in Mexico | DW Documentary,28m 26s,2022-09-13T16:00:12Z
9o5lqEzz3Bo,The hidden cost of orange juice | DW Documentary,42m 26s,2022-09-12T16:00:09Z
Dmfm_0oBmeE,Trip through Cyprus - Mediterranean journey | DW Documentary,25m 55s,2022-09-11T16:00:13Z
kRpPu6OoP00,Afghanistan under the Taliban | DW Documentary,18m 11s,2022-09-09T16:00:33Z
JUiSuldik4s,Queen Elizabeth II and Britain's leaders - Britain's longest reigning monarch | DW Documentary,42m 26s,2022-09-08T18:23:04Z
z5TP1k9z4ak,The greatest expeditions of mankind - Magellan and the space race | DW Documentary,42m 26s,2022-09-08T16:00:39Z
FVRwkJ_rGOA,Ukraine war - Finland joins NATO | DW Documentary,28m 26s,2022-09-06T16:00:13Z
GNErKZwTvKI,Greece: Dental care for refugees | DW Documentary,12m 26s,2022-09-05T16:00:10Z
8egCYw40gWg,The 1972 Munich Olympics massacre | DW Documentary,51m 55s,2022-09-04T16:00:07Z
3Rv6jBhv7JE,Mozambique's rubies: A blessing or a curse? | DW Documentary,12m 26s,2022-08-29T16:00:02Z
oa8ZtELbCRM,Egypt: Land of the Pharaohs - Mediterranean journey | DW Documentary,25m 55s,2022-08-28T16:00:34Z
TXZDR10xXy8,Why African Americans are taking up arms ? | DW Documentary,12m 26s,2022-08-25T16:00:14Z
9edWX7TTsLw,Who owns water? | DW Documentary,42m 27s,2022-08-24T16:00:06Z
ZmjK_4Ci4OQ,Nature's response to urban sprawl | DW Documentary,42m 26s,2022-08-19T16:00:31Z
pWTg-Gpb2Tw,What happens when our water dries up? | DW Documentary,42m 26s,2022-08-17T16:00:37Z
D9pDnFWR2r8,Child trafficking in Afghanistan | DW Documentary,12m 26s,2022-08-15T16:00:07Z
VguZi8tDif4,Lebanon: A cultural melting pot - Mediterranean journey | DW Documentary,25m 56s,2022-08-14T16:00:18Z
Z8S9VSlvAOI,India: An emerging superpower - Climate equality space (2/2) | DW Documentary,51m 54s,2022-08-12T16:15:01Z
fO-bgE1pkyQ,India: An emerging superpower - Democracy development displacement (1/2) | DW Documentary,51m 54s,2022-08-12T16:00:24Z
fRksIesMgww,The mysterious Vermeer - The secret behind a 350-year-old painting | DW Documentary,42m 27s,2022-08-11T16:00:19Z
1MZFrJPPIQ8,The fight for water | DW Documentary,42m 26s,2022-08-10T16:00:00Z
nTq1Sd9N7E8,Climate change: Europe's first heat officer | DW Documentary,12m 20s,2022-08-08T16:00:22Z
RZuKyIYMSEw,Lebanon: An economic crisis and the aftermath of the Beirut port explosion | DW Documentary,54m 51s,2022-08-04T16:00:14Z
0uYCkW5r9SY,Ukraine: Back in the war - The homecoming of photographer Yuri Kosin | DW Documentary,28m 26s,2022-08-02T16:00:02Z
yRV4JTA3-5c,Traditions roots and independence / HER - Women in Asia (Season 2) | DW Documentary,12m 32s,2022-07-31T16:00:36Z
-DKIQpu4hhQ,The world of China’s President Xi Jinping | DW Documentary,1h 25m 56s,2022-07-30T16:00:00Z
LdsHHs5QyR8,Hunting down IS fighters in Europe | DW Documentary,42m 26s,2022-07-29T16:05:46Z
