Video ID,Title,Length,Published
QnPRXhEkRKU,Experiencing Christ Within,6m 54s,2022-08-02T15:00:31Z
ECT-jpRjiEc,Rupert reads from his new book You Are the Happiness You Seek (Part 2),17m 11s,2022-07-31T15:00:08Z
FcTwiI9JlsY,The Illusion of Distance and Space  – Understanding Reality,5m 47s,2022-07-29T15:00:17Z
jiG5n_pmeYA,Only Consciousness Is Ever Experienced #rupertspira #knowing #nonduality #consciousness #shorts,43s,2022-07-27T18:30:01Z
el6HIfNd-os,Rupert Spira Podcast Episode 47: The Weekend University (Non-Duality & the Nature of Consciousness),1m 1s,2022-07-26T15:00:25Z
zLkwhE7OYbw,The Only Thing that Is Ever Truly Known #shorts #rupertspira #nonduality #consciousness,59s,2022-07-25T18:51:07Z
2tNDLkOwz5w,Freedom from Suffering – the Direct Path to Inner Peace,1h 31m 3s,2022-07-24T15:00:03Z
ShUvbTrwPZQ,Rupert reads from his new book You Are the Happiness You Seek (Part 1),27m 9s,2022-07-22T17:27:27Z
nVvzji2JB30,How Is Buddha’s Enlightenment Different from Others?,3m 38s,2022-07-19T15:00:36Z
U-HkEzd5EVA,What is reality? #shorts #rupertspira #nonduality reality #consciousness,1m 1s,2022-07-18T21:03:43Z
IxmCDb0uouU,Guided Meditation: Your Own Being Is Happiness Itself,19m 1s,2022-07-17T15:00:11Z
cU4mJgfJs3c,The Being of Everything Is the Ocean of Oneness,5m 32s,2022-07-15T19:32:49Z
v5Q-lQ3FB6Q,You Are the Happiness You Seek – Ramana Maharshi a Short Reading by Rupert Spira,7m 6s,2022-07-13T17:25:33Z
-OhwK7pFFdE,Is Infinite Consciousness Omniscient? #shorts #rupertspira #consciousness #infinite,56s,2022-07-11T17:24:36Z
5HBA8AesM6o,When Thought Stops Happiness Is Revealed,11m 38s,2022-07-10T16:00:03Z
JET1EUbJM6o,The Separate 'I' or Self Is an Illusion,7m 3s,2022-07-08T15:00:11Z
mgpACUBFfq0,Podcast Episode 46: Watkins Mind Body Spirit Magazine (You Are the Happiness You Seek),1m 1s,2022-07-06T15:00:23Z
kokgIoExtbM,The Highest Meditation #rupertspira #meditation #nonduality #shorts,1m 1s,2022-07-04T16:20:04Z
zsHy8BVn7as,Mind and Matter Are Not Two Separate Things,11m 37s,2022-07-03T18:31:00Z
MIZfqWAPrHg,Stop Searching for Happiness It Is Not a Feeling or Emotion,6m 36s,2022-07-01T19:09:07Z
AYq3EzkRFmM,The Place In Everyone That Has Never Been Hurt,7m 47s,2022-06-28T16:00:44Z
nfRbfNBLiIE,The Delightful Revelation of The Truth | Rupert Spira & Henry Shukman (Part 2),1h 30m 23s,2022-06-26T15:00:24Z
VA7Z5U80LX0,Does Everything Happen for a Reason?,10m 13s,2022-06-24T15:00:15Z
jo_KBCNMnls,Time Does Not Exist Without The Mind #rupertspira #thenow #time #shorts,26s,2022-06-23T16:47:22Z
gfe8uXzCazg,Processing Grief From Intensely Traumatic Events,4m 46s,2022-06-22T15:00:25Z
FKW-C895Qro,Time is Never Experienced: Rupert Spira,34m 56s,2022-06-21T10:44:11Z
p0_720pPXOg,Could Our Idea of Reality Be Totally Upside Down?,12m 42s,2022-06-17T15:00:23Z
GGHthbjSeys,Podcast Episode 45: Henry Shukman (Part 2),59s,2022-06-14T16:00:06Z
pBKpEyicr_k,Meditation: Quiet Joy in the Silence of Presence,13m 16s,2022-06-12T16:00:20Z
wM32TfuR3Ac,What If There Is No 'What Next'?,5m 44s,2022-06-10T16:00:43Z
mzww8WeSz88,Relief From The Fear of Death Anxiety,5m 40s,2022-06-07T16:00:18Z
HNfDDeOvsBk,If Non-Duality Is True What Does It Mean for Us? | Rupert Spira & Bernardo Kastrup (Part 2),1h 55m 33s,2022-06-03T16:00:09Z
hoUL-U6Rblg,Spiritual Meetings Friendships and Satsang,9m 40s,2022-05-31T16:00:22Z
LguxTzxea4U,A Way to Become Free from Suffering,3m 14s,2022-05-29T16:00:18Z
iX87nFTpRdA,Am I My Body or Something Else?,9m 18s,2022-05-27T16:00:26Z
lRjttNEzeeg,Knowing Yourself As One With God,3m 42s,2022-05-22T16:00:32Z
p1OY9SrbTMY,Is Making Money Bad as a Spiritual Person?,9m 23s,2022-05-17T14:00:20Z
5aYfL7-PkqY,Understanding The Voice of Intuition,10m 22s,2022-05-15T14:00:02Z
oYF2Lcaqy9Q,Meditation: There Is Only One Reality,1h 15m 36s,2022-05-13T14:00:18Z
BwXosKVO2yI,An Introduction To Non-Duality,6m 1s,2022-05-10T22:18:40Z
6divqAG7CxM,Sports and the Non-Dual Understanding | Rupert Spira & Karl Morris in Conversation,1h 17m 45s,2022-05-10T16:00:06Z
urEZ_pFkYTA,My Heart Is Completely On Fire,10m 34s,2022-05-08T14:00:32Z
lPsuJInQB6A,Noticing Signs from the Universe,6m 38s,2022-05-06T14:00:17Z
YzjN2sDHa4A,Podcast Episode 43: Karl Morris,59s,2022-05-04T14:00:25Z
PFOnM0jGaR8,The Essence of Prayer and Devotion,3m 40s,2022-05-03T14:00:08Z
0Q10KIWPHcU,How Can I Find Awareness?,3m 53s,2022-05-01T14:00:00Z
V6wWY2EVdKk,Do We Really Experience Time or Space?,11m 46s,2022-04-29T14:00:17Z
2oa0lpmNwt4,Does Spiritual Enlightenment Happen After Death?,6m 17s,2022-04-26T14:00:01Z
dW6WZGKF5Mc,The Powerful Wisdom of the Christian Mystics | Christian Mysticism Read by Rupert Spira,22m 42s,2022-04-24T16:00:18Z
0t8_WIlu0lU,You Are The Happiness You Seek,1m 12s,2022-04-22T16:00:00Z
r238vx-WdPk,Spirituality and Art | Henry Shukman (Part 1),1h 21m 52s,2022-04-19T16:00:21Z
4BHBjIvENd8,The Fear of Not Existing,9m 27s,2022-04-17T16:00:01Z
5ft_6Wfb1jc,A Meditation on Silence | Meister Eckhart (Christian Mystic),11m 19s,2022-04-15T16:00:02Z
aLFarpUDxi0,Our Unborn Undying Nature: Rupert Spira: Nonduality Advaita Vedanta Consciousness,1h 6m 30s,2022-04-12T19:18:10Z
cMLsi_bjBVA,Podcast Episode 42: Henry Shukman,1m,2022-04-12T16:00:11Z
96F8VTl-gdc,Is It Possible To Live Free of Anxiety?,5m 5s,2022-04-10T16:00:04Z
dDJOyLs7lUQ,What Is the Essence of Christianity?,7m 35s,2022-04-08T17:00:19Z
9bAJBg9WVU0,I Just Can’t Meditate What Am I Doing Wrong?,5m 43s,2022-04-05T17:00:05Z
05bA9gX_Qqg,I Am That – A Poem by Shantanand Saraswati,1m 51s,2022-04-03T16:00:00Z
MQuMzocvmTQ,Is Everything Made of Matter or Consciousness? | Rupert Spira & Bernardo Kastrup in Conversation,2h 30m 32s,2022-03-29T16:00:19Z
HoCkRZSBUTM,Freeing Yourself of Old Habits,8m 45s,2022-03-27T16:15:00Z
JP5U-9v0NXo,Enlightenment Guided Meditation 5 Day Series,3m 30s,2022-03-25T16:00:35Z
6WIJ3T7QFuo,Podcast Episode 41: Bernardo Kastrup,54s,2022-03-22T16:00:07Z
W-aSBJixJ6M,The Search for Happiness - International Day of Happiness,14m 15s,2022-03-20T16:00:10Z
0bq4PhhlsJM,How Do We Process War and Bring More Peace to the World?,6m 28s,2022-03-18T16:00:01Z
uMKFiyFmHPQ,The Art of Flow State and Staying in the Zone | Jonny Wilkinson,1h 25m 56s,2022-03-15T15:00:40Z
WerwM5tVl94,What Is the True Meaning of Love?,11m 45s,2022-03-13T16:00:22Z
gk4iwYkl41A,Does Anything Really Exist? | Understanding Existence,22m 27s,2022-03-11T16:00:18Z
