"Video ID",Title,Length,Published
q52ZCoehGrs,"Hemispatial Neglect: When Half Your World Disappears","6m 42s","2020-03-19T21:08:32Z"
qSHWouZL988,"How You Affect Other People’s Brain Waves | Inter-Brain Connections","5m 43s","2020-03-16T19:00:11Z"
U6cg0KIwozg,"Engrams: Where Your Brain Keeps Memories","6m 21s","2020-03-12T19:00:08Z"
hx9JolK4ATk,"How Bad Helmets Gave Us a Map of Vision","5m 42s","2020-03-09T20:13:46Z"
csqOL_KT4Go,"Why Psychology Tells Us What We Already Know","5m 50s","2020-03-05T22:12:20Z"
j2lgUEehMHk,"Why Do We Get the Spins When We’re Drunk?","5m 45s","2020-03-02T20:00:08Z"
FqhOYqxwYh8,"Why Can’t I Remember My Dreams?","5m 51s","2020-02-27T20:00:00Z"
DRuPF6JtWdw,"Magenta Is All In Your Head","3m 30s","2020-02-24T20:40:34Z"
hTRBAjYGjsI,"Why More Choices Don't Make You Happy","4m 33s","2020-02-20T20:00:05Z"
l5Xzq7pzWKw,"The Bizarre Future of Stroke Treatment","7m 38s","2020-02-17T20:00:07Z"
"Z3q-iAKsI1s","You Can Inherit Fear?","6m 15s","2020-02-13T20:00:04Z"
mdf0WxBQWR0,"Valentine's Day Is Bad for Relationships (and That's a Good Thing)","6m 22s","2020-02-10T20:00:06Z"
p6GDNpylILE,"When Blindsight is 20/20","5m 50s","2020-02-06T19:59:52Z"
cGZJflerLZ4,"Are Colors Real?","9m 15s","2020-02-03T22:59:39Z"
7aendfVlBBk,"Rorschach: Psychology’s Most Controversial Test","6m 12s","2020-01-30T20:00:01Z"
kjwIgKa560s,"What We Often Get Wrong About the Brain's ""Language Centers""","7m 58s","2020-01-27T21:55:40Z"
EFxSZBz8tQ0,"When Insomnia Becomes Deadly","5m 44s","2020-01-23T20:02:26Z"
tY66z2w5yy0,"What If Your Body Didn't Paralyze You During Sleep?","6m 21s","2020-01-20T20:00:08Z"
7oRpJ525OZs,"Being a Messy Person Has Its Perks","4m 39s","2020-01-16T20:00:00Z"
f_I1CrkUdEY,"Placebos Work Even if You Know They’re Placebos!","6m 7s","2020-01-13T20:00:04Z"
"I-vl6ezEpjE","Why You're More Afraid of Sharks Than Cows","4m 43s","2020-01-09T20:00:01Z"
KwOhfmygHyM,"Your Brain's Secret to Freestyling","5m 35s","2020-01-06T20:00:04Z"
L061cpw4qv4,"3 Big Things We Learned About the Brain in 2019","6m 38s","2020-01-02T20:00:02Z"
1MdDTmGla2c,"Psychology Hacks to Help Your New Year's Resolutions | Compilation","28m 19s","2019-12-30T22:00:02Z"
8p_9wccG2NY,"When Procrastination Isn't So Bad","5m 58s","2019-12-23T20:00:01Z"
JgltmbOVRqI,"The Surprising Connection Between Reading and Rhythm",5m,"2019-12-19T23:20:50Z"
Wt0q1xjEFgk,"When Your Brain Can't Accept Reality: Anosognosia","6m 42s","2019-12-16T20:00:06Z"
yGabNZ03QJI,"Why Are Some People So Bad at Singing?","4m 46s","2019-12-12T20:00:07Z"
W1ZFVeNAAeI,"Why Do So Many People Fall for Robocalls and E-mail Scams?","5m 53s","2019-12-09T20:00:12Z"
yHVTgZw7geY,"How Psychology Can Explain the Deadly Medieval Dancing Plagues","6m 59s","2019-12-05T20:25:14Z"
SMxYD3oTAIA,"This Common Drug Could Stop You from Developing PTSD","5m 26s","2019-12-02T20:00:59Z"
GhuLCzklgSg,"'Tis The Season for Snuggles: The Psychology of Cuffing Season","5m 46s","2019-11-28T20:00:01Z"
efZSno1KNdI,"How Stores Try to Manipulate Your Senses to Sell You Stuff","6m 43s","2019-11-25T22:19:47Z"
n1jY405Czmo,"How Close Are We to Growing Brains in a Dish?","6m 15s","2019-11-21T20:00:04Z"
do_zld2dS1M,"The Very Real Consequences of Weight Discrimination","5m 14s","2019-11-18T21:59:35Z"
27SzyKhaIPE,"Mental Health Apps: How Medicine Can Keep Up With Tech","5m 42s","2019-11-14T20:00:00Z"
DVdcOKIouTU,"The Science Behind the Pimple Popping Phenomenon","5m 7s","2019-11-11T20:00:01Z"
9V3JoxQIoV4,"Alice in Wonderland Syndrome","5m 21s","2019-11-07T20:00:01Z"
8SsC9UWYPDM,"Why Diet Might Be a Big Deal for Mental Health","5m 51s","2019-11-04T20:00:02Z"
G_IHLWflImk,"Why Do Our Brains Have Distinct Hemispheres?","7m 10s","2019-10-31T22:53:42Z"
q4xGNmo4ipU,"Is Your Brain Ready for Mars?","7m 6s","2019-10-28T19:00:05Z"
xdSh3Ycw1fw,"The Bizarre Link Between Blindness and Schizophrenia","4m 28s","2019-10-24T19:00:09Z"
mDxSU9LJxOc,"Want to Speak a Foreign Language Better? Have a Drink","5m 42s","2019-10-21T19:00:06Z"
uCg1M9WWWcY,"If You're Reading This, You've Reshaped Your Brain","4m 47s","2019-10-17T19:00:08Z"
NL21HUqwGc0,"The Most Common Eating Disorder You've Never Heard Of","5m 39s","2019-10-14T19:00:04Z"
YNrXsAzEois,"How Basic Psychology Can Save Kids' Lives","5m 37s","2019-10-10T20:09:27Z"
LIKcI1MBnto,"Why Tickle Fights Aren't Just for Kids","6m 6s","2019-10-07T19:00:02Z"
iWJDWi6K2QA,"How to Take the Best Notes, According to Psychology","6m 2s","2019-10-03T19:02:59Z"
Yie1dWzmgvw,"Can These Psychology Strategies Prevent Bullying?","4m 58s","2019-09-30T19:00:02Z"
CC2LG5TQn_4,"We Totally Missed a Different Kind of Dementia for Decades","4m 59s","2019-09-26T19:10:41Z"
Fpj43qwSmtg,"What Slot Machines Can Tell Us About Our Brains","7m 45s","2019-09-23T19:00:03Z"
BG7PGBs2j70,"We Don't Know How To Type","5m 20s","2019-09-19T19:05:48Z"
0itEOM8oxkE,"What ""Alien Abductions"" Say About Our Brains","5m 58s","2019-09-16T21:22:49Z"
MQd98NByhqw,"There's More Than One Bipolar Disorder","5m 35s","2019-09-12T19:00:01Z"
Nc0Tw6ISYKk,"The Good Behavior Game","6m 59s","2019-09-09T19:00:03Z"
"d-N364D4Hr8","What Do We Actually Know About Depression? | Compilation","24m 16s","2019-09-02T19:00:03Z"
8Zj1_OLVRIs,"You Don't Know Yourself as Well as You Think","5m 49s","2019-08-29T21:00:01Z"
OgkFmBHo8Og,"Why We Like Bad News","6m 1s","2019-08-26T19:00:03Z"
VmgS2JltwX4,"Spelunking in the Uncanny Valley","7m 37s","2019-08-22T19:00:06Z"
kLVZoesOgtg,"Are We Inherently Good?","4m 42s","2019-08-19T21:04:00Z"
_xe5vzHHTnU,"Heads-Up: Depression Isn't the Only Postpartum Disorder","5m 27s","2019-08-15T19:00:03Z"
Q0wfm9wrhXA,"Why Is Riding a Bike ""Just Like Riding a Bike?""","5m 47s","2019-08-12T19:00:04Z"
ywLdjuQLaQ0,"The Dark Side of Needing Closure","5m 44s","2019-08-08T19:00:04Z"
"7Ieyo6-FeEA","The FOMO Is Real — But You Can Overcome It","6m 18s","2019-08-05T19:00:00Z"
UBVC4DnxJyw,"Where Are All the Women with ADHD?","5m 20s","2019-08-01T21:00:58Z"
mwtastq845M,"Kids Aren't As Gullible As You Think","6m 33s","2019-07-29T19:00:05Z"
"HMBWMdP0-tg","Why Do We Go All In on Lost Causes?","4m 43s","2019-07-25T19:00:00Z"
fm1PAbIzOB0,"Is Your Dog As Smart As A Two Year Old?","6m 38s","2019-07-22T19:00:08Z"
0FH7SOBwE1M,"Why Can I Hear This .gif?","5m 53s","2019-07-18T20:43:12Z"
reUic5tyVwo,"The Stroop Task: The Psych Test You Cannot Beat",8m,"2019-07-15T19:00:05Z"
TJi2IfnEd5c,"How (and Why) to Find Your Life's Purpose","5m 11s","2019-07-11T19:00:05Z"
TRviYv43XS8,"Houseplants Can (Probably) Make You Happier","7m 15s","2019-07-08T19:00:05Z"
KBtXU1GKvio,"Can You Actually Become More Emotionally Intelligent?","5m 19s","2019-07-04T19:00:02Z"
YksgBohXABM,"What People Get Wrong About Schizophrenia","5m 56s","2019-07-01T19:00:02Z"
8lLISZzlRD4,"Alcohol Can Enhance Creativity—But at a Cost","8m 47s","2019-06-27T19:00:00Z"
QW7rPIf2RBQ,"What Psychologists Can Tell You About Ghosting","4m 32s","2019-06-24T20:14:17Z"
tYOUdtWzsHE,"How We Manipulate Our Brains With Electricity","8m 10s","2019-06-20T20:07:40Z"
pGYKcqzG_7M,"What Do Mirror Neurons Really Do?","6m 46s","2019-06-17T19:00:03Z"
HKLHpty0CWQ,"Why Are Feelings So Complicated?! | Compilation","27m 49s","2019-06-10T19:00:02Z"
1RpPcauLcvE,"When People Get Different Accents","5m 21s","2019-06-06T19:00:00Z"
wCmnqE_VL78,"Why Eating Disorders Are Way More Common Than You Think","8m 34s","2019-06-03T21:06:51Z"
MstAuQmBtDc,"Groups That Chant Together, Stay Together","4m 47s","2019-05-30T19:00:02Z"
SYLySBpGGM8,"Statistics Say Screens Aren't Destroying Today's Teens","7m 31s","2019-05-27T19:00:00Z"
"aTd-lrnZvsQ","Why Do We Still Teach Freud If He Was So Wrong?","5m 56s","2019-05-23T19:00:00Z"
oOkISlxST38,"What Really Happened to Phineas Gage?","7m 43s","2019-05-20T22:29:34Z"
MHM3ItHd22I,"Can You Really Change Your Personality?","4m 35s","2019-05-15T19:25:33Z"
