"Video ID",Title,Length,Published
"-785H7TKQkk","#وثائقي #shorts التحول الجنسي من امرأة إلى رجل",26s,"2022-12-07T15:31:06Z"
u0kkd1j_HBU,"#وثائقي #shorts فضيحة وباء الإيدز في الصين",34s,"2022-12-06T15:00:33Z"
xLbRWl8pevI,"ريبورتاج | كيف كانت أجواء كأس العالم لمشجعي المنتخب الألماني لكرة القدم في قطر؟ | وثائقية دي دبليو","12m 25s","2022-12-05T19:00:31Z"
IkdGKOgYg9g,"#وثائقي #shorts أحمر الشفاه عبر العصور",37s,"2022-12-05T15:00:17Z"
"anh-ee-kYBA","وثائقي | هل تستخدم روسيا القمح كوسيلة ضغط؟ - تداعيات الحرب على أوكرانيا | وثائقية دي دبليو","28m 26s","2022-12-01T19:00:03Z"
BqFoeFZounQ,"#وثائقي #shorts المهاجرون في أوروبا",33s,"2022-12-01T15:00:05Z"
2RsZ4ZfG7VU,"ريبورتاج | الفرار من روسيا - الجنود المنشقون الروس من الخدمة العسكرية في جورجيا | وثائقية دي دبليو","12m 26s","2022-11-29T19:00:01Z"
Av6gM4KjkLw,"وثائقي | كفاح من أجل حماية الحيوانات ""القبيحة"" - أنواع مجهولة ومهددة بالانقراض | وثائقية دي دبليو","25m 56s","2022-11-28T19:00:03Z"
rwV2XK6Snog,"وثائقي | طريق الموت - جرائم حرب في أوكرانيا | وثائقية دي دبليو","42m 26s","2022-11-26T19:00:31Z"
934fGlbpTMw,"#وثائقي #shorts لا للعقلية الذكورية - انتفاضة النساء في أمريكا اللاتينية من أجل حقوقهن",44s,"2022-11-26T15:00:06Z"
zClt1PJg4PM,"وثائقي | لا للعقلية الذكورية! - انتفاضة النساء في أمريكا اللاتينية من أجل حقوقهن | وثائقية دي دبليو","42m 26s","2022-11-25T19:00:34Z"
0L6Gv2TwDjQ,"وثائقي | قطر: كأس العالم الأكثر جدلاً - تحت أية ظروف بنيت ملاعب كرة القدم؟ | وثائقية دي دبليو","28m 26s","2022-11-24T19:00:01Z"
QCl1BnlCjtY,"#وثائقي #shorts أسطورة قطر - عالم بين التراث والحداثة والصحراء والعمالة الأجنبية",36s,"2022-11-24T15:00:16Z"
yiPwMjfGBdo,"وثائقي | أسطورة قطر - عالم بين التراث والحداثة والصحراء والعمالة الأجنبية | وثائقية دي دبليو","42m 26s","2022-11-23T19:00:35Z"
Eeijb91JsTA,"ريبورتاج | اتهامات السحر ضد الأطفال في نيجيريا - ضحايا الخرافات القاتلة | وثائقية دي دبليو","12m 26s","2022-11-22T19:00:07Z"
Suse8DJ0oTA,"#وثائقي #shorts حب المعرفة - من أول رحلة حول العالم إلى أول رحلة إلى القمر",29s,"2022-11-19T15:00:28Z"
60NtImwhbjs,"#وثائقي #shorts في مرمى نيران المافيا",29s,"2022-11-17T15:00:05Z"
wtgLXkljswM,"وثائقي | الأزمة المالية الآسيوية - ما تبعات أول أزمة مالية حديثة في عصر العولمة؟ | وثائقية دي دبليو","42m 26s","2022-11-16T19:00:20Z"
IDf30OzuoJY,"#وثائقي #shorts الموسيقى في ألمانيا النازية",37s,"2022-11-16T15:00:11Z"
"-HDoeLFNmpI","وثائقي | ماذا يعني الحياد المناخي؟ - طموح عالمي لاستخدام علامة ""محايد مناخياً"" | وثائقية دي دبليو","27m 31s","2022-11-15T19:00:00Z"
tRd6owxOKqg,"ريبورتاج | جزيرة مدغشقر: الجفاف و شحّ الغذاء والمياه - من المسؤول عن تغير المناخ؟ | وثائقية دي دبليو","12m 26s","2022-11-14T19:00:33Z"
FuQbR5WcU4Q,"وثائقي | كيف ستبدو مدن المستقبل؟ - آفاق جديدة للتخطيط الحضري وحماية مستدامة للمناخ| وثائقية دي دبليو","25m 56s","2022-11-13T19:00:06Z"
"-wrELGRqDng","وثائقي | الموسيقى في ألمانيا النازية - عازفة التشيلو و المايسترو في معسكر أوشفيتس | وثائقية دي دبليو","1h 25m 55s","2022-11-10T10:00:02Z"
xR_0vgXyPVc,"#وثائقي #shorts استكشاف أوزبكستان - رحلة بالقطار على طريق الحرير الجديد",21s,"2022-11-09T15:00:46Z"
